Model Code,Model,Make Code,Make
1,Rambler/American,1,American Motors
2,Rebel/Matador,1,American Motors
3,Ambassador,1,American Motors
4,Pacer,1,American Motors
5,AMX,1,American Motors
6,Javelin,1,American Motors
7,Hornet/Concord,1,American Motors
8,Spirit/Gremlin,1,American Motors
9,Eagle,1,American Motors
10,Eagle SX-4,1,American Motors
398,Other automobile,1,American Motors
399,Unknown automobile,1,American Motors
998,Other vehicle,1,American Motors
999,Unknown vehicle,1,American Motors
1,Compass,2,Jeep
399,Unknown automobile,2,Jeep
401,CJ-2/CJ-3/CJ-4,2,Jeep
402,CJ-5/CJ-6/CJ-7/ CJ-8,2,Jeep
403,YJ-series,2,Jeep
404,Cherokee (84-on),2,Jeep
405,Liberty,2,Jeep
406,Commander,2,Jeep
407,Patriot,2,Jeep
421,Cherokee (-83),2,Jeep
431,Grand Wagoneer,2,Jeep
481,Pickup,2,Jeep
482,Comanche,2,Jeep
498,Other light truck,2,Jeep
499,Unknownlighttruck,2,Jeep
998,Other vehicle,2,Jeep
999,Unknown vehicle,2,Jeep
401,Dispatcher,3,AM General
402,HummerH3,3,AM General
421,Hummer,3,AM General
466,Dispatcher,3,AM General
498,Other light truck,3,AM General
499,Unknownlighttruck,3,AM General
884,Medium/Heavy truck,3,AM General
898,Other medium-heavy truck,3,AM General
899,Unknown medium/heavy truck,3,AM General
950,Bus based Motorhome,3,AM General
983,Bus flat front (rear engine) Transit,3,AM General
988,Other bus,3,AM General
989,Unknown Bus,3,AM General
998,Other vehicle,3,AM General
999,Unknown Vehicle,3,AM General
9,Cordoba,6,Chrysler
10,New Yorker/Newport/ Fifth Avenue/Imperial,6,Chrysler
14,New Yorker/E Class/ Imperial (90-93)/Fifth Avenue,6,Chrysler
15,Laser,6,Chrysler
16,LeBaron,6,Chrysler
17,LeBaronGTS/GTC,6,Chrysler
18,Intrepid (Canadian made),6,Chrysler
19,Neon(export),6,Chrysler
31,TC (Maserati Sport),6,Chrysler
35,Conquest,6,Chrysler
41,Concorde,6,Chrysler
42,LHS,6,Chrysler
43,Sebring,6,Chrysler
44,Cirrus,6,Chrysler
51,300M,6,Chrysler
52,PT Cruiser,6,Chrysler
53,Prowler,6,Chrysler
54,Pacifica,6,Chrysler
55,Crossfire,6,Chrysler
398,Other automobile,6,Chrysler
399,Unknown automobile,6,Chrysler
421,Aspen,6,Chrysler
441,Townand Country,6,Chrysler
442,Voyager,6,Chrysler
498,Other light truck,6,Chrysler
499,Unknownlighttruck,6,Chrysler
998,Other vehicle,6,Chrysler
999,Unknown vehicle,6,Chrysler
1,Dart,7,Dodge
2,Coronet/Charger(-78)/Magnum,7,Dodge
3,Polara/Monaco Royal Monaco,7,Dodge
4,Viper,7,Dodge
5,Challenger,7,Dodge
6,Aspen,7,Dodge
7,Diplomat,7,Dodge
8,Omni/Charger (83 on),7,Dodge
9,Mirada,7,Dodge
10,St. Regis,7,Dodge
11,Aries (K),7,Dodge
12,400,7,Dodge
13,"Rampage
 (car based pickup)",7,Dodge
14,600,7,Dodge
15,Daytona,7,Dodge
16,Lancer,7,Dodge
17,Shadow,7,Dodge
18,Dynasty,7,Dodge
19,Spirit,7,Dodge
20,Neon,7,Dodge
21,Magnum,7,Dodge
24,Charger(2006+),7,Dodge
25,Caliber,7,Dodge
26,Avenger,7,Dodge
33,Challenger,7,Dodge
34,Colt (excludes Vista),7,Dodge
35,Conquest,7,Dodge
39,Stealth,7,Dodge
40,Monaco,7,Dodge
41,Intrepid,7,Dodge
42,Avenger,7,Dodge
43,Stratus,7,Dodge
398,Other automobile,7,Dodge
399,Unknown automobile,7,Dodge
401,Raider,7,Dodge
403,Nitro,7,Dodge
421,Ramcharger,7,Dodge
422,Durango,7,Dodge
441,Vista,7,Dodge
442,Caravan,7,Dodge
461,B-series vans,7,Dodge
462,Sprinter,7,Dodge
470,Van derivative,7,Dodge
471,"D50, Colt P/U, RAM50/RAM 100 all",7,Dodge
472,Dakota,7,Dodge
481,"D, W-series pickup",7,Dodge
482,Ram,7,Dodge
498,Other light truck,7,Dodge
499,Unknown light truck,7,Dodge
850,Truck based motorhome,7,Dodge
881,Medium/Heavy CBE,7,Dodge
882,Medium/Heavy COE,7,Dodge
883,Medium/Heavy COE,7,Dodge
884,Medium/Heavy,7,Dodge
890,Medium/Heavy COE,7,Dodge
898,Other medium/heavy truck,7,Dodge
899,UnknownMedium/heavy truck,7,Dodge
950,Bus based motorhome,7,Dodge
981,Medium bus,7,Dodge
988,Other bus,7,Dodge
989,Unknown bus,7,Dodge
998,Other vehicle,7,Dodge
999,Unknown vehicle,7,Dodge
10,Imperial,8,Imperial
398,Other automobile,8,Imperial
399,Unknown automobile,8,Imperial
998,Other vehicle,8,Imperial
999,Unknown vehicle,8,Imperial
1,Valiant/Duster (-76)/ Scamp,9,Plymouth
2,Satellite/Belvedere,9,Plymouth
3,Fury,9,Plymouth
4,Gran Fury,9,Plymouth
5,Barracuda,9,Plymouth
6,Volaré,9,Plymouth
7,Caravelle,9,Plymouth
8,Horizon,9,Plymouth
11,Reliant (K),9,Plymouth
13,Scamp (car based pickup),9,Plymouth
17,Sundance,9,Plymouth
19,Acclaim,9,Plymouth
20,Neon,9,Plymouth
31,Cricket,9,Plymouth
32,Arrow,9,Plymouth
33,Sapporo,9,Plymouth
34,Champ/Colt (excludes Vista),9,Plymouth
35,Conquest,9,Plymouth
38,Breeze,9,Plymouth
39,Prowler,9,Plymouth
37,Laser,9,Plymouth
398,Other automobile,9,Plymouth
399,Unknown automobile,9,Plymouth
421,Trailduster,9,Plymouth
441,Vista,9,Plymouth
442,Voyager (minivan),9,Plymouth
461,Van-fullsize (B-series),9,Plymouth
471,Arrow pickup (foreign),9,Plymouth
498,Other light truck,9,Plymouth
499,Unknownlighttruck,9,Plymouth
998,Other vehicle,9,Plymouth
999,Unknown vehicle,9,Plymouth
34,Summit,10,Eagle
37,Talon,10,Eagle
40,Premier,10,Eagle
41,Vision,10,Eagle
44,Medallion,10,Eagle
398,Other automobile,10,Eagle
399,Unknown automobile,10,Eagle
441,Summit Wagon,10,Eagle
498,Other light truck,10,Eagle
499,Unknownlighttruck,10,Eagle
998,Other vehicle,10,Eagle
999,Unknown vehicle,10,Eagle
1,Falcon,12,Ford
2,Fairlane,12,Ford
3,Mustang/Mustang II,12,Ford
4,Thunderbird (all sizes),12,Ford
5,LTD II,12,Ford
6,LTD/Custom/Galaxie,12,Ford
7,Ranchero,12,Ford
8,Maverick,12,Ford
9,Pinto,12,Ford
10,Torino/GranTorino/Elite,12,Ford
11,Granada,12,Ford
12,Fairmont,12,Ford
13,Escort/EXP,12,Ford
15,Tempo,12,Ford
16,CrownVictoria,12,Ford
17,Taurus,12,Ford
18,Probe,12,Ford
21,Five Hundred,12,Ford
22,Freestyle,12,Ford
23,Fusion,12,Ford
24,Edge,12,Ford
31,English Ford,12,Ford
32,Fiesta,12,Ford
33,Festiva,12,Ford
34,Laser,12,Ford
35,Contour,12,Ford
36,Aspire,12,Ford
37,Focus,12,Ford
38,GT,12,Ford
398,Other automobile,12,Ford
399,Unknown automobile,12,Ford
401,Bronco II/Bronco (-77) Explorer,12,Ford
402,Escape,12,Ford
421,Bronco-fullsize,12,Ford
422,Expedition,12,Ford
431,Excursion,12,Ford
441,Aerostar,12,Ford
442,Windstar,12,Ford
443,Freestar,12,Ford
461,E-series vans,12,Ford
470,Van derivative,12,Ford
471,Ranger,12,Ford
472,Courier,12,Ford
473,Sport Trac,12,Ford
481,F-series pickup,12,Ford
498,Other light truck,12,Ford
499,Unknownlighttruck,12,Ford
850,Truck based motorhome,12,Ford
880,"F450/550 Pickup > 4,536 GVW",12,Ford
881,Medium/Heavy CBE,12,Ford
882,Medium/Heavy COE,12,Ford
883,Medium/Heavy COE,12,Ford
884,Medium/Heavy,12,Ford
890,Medium/Heavy COE,12,Ford
898,Other medium/heavy,12,Ford
899,Unknownmedium/heavy,12,Ford
950,Bus based motorhome,12,Ford
981,Medium bus,12,Ford
988,Other bus,12,Ford
989,Unknown bus,12,Ford
998,Other vehicle,12,Ford
999,Unknown vehicle,12,Ford
1,Continental/Town Car,13,Lincoln
2,Mark,13,Lincoln
5,Continental (82-on),13,Lincoln
11,Versailles,13,Lincoln
12,LS,13,Lincoln
13,Zephyr,13,Lincoln
14,MKX,13,Lincoln
15,MDS,13,Lincoln
398,Other automobile,13,Lincoln
399,Unknown automobile,13,Lincoln
401,Aviator,13,Lincoln
421,Navigator,13,Lincoln
481,Blackwood,13,Lincoln
482,Mark LT,13,Lincoln
498,Other Light Truck,13,Lincoln
499,UnknownLight Truck,13,Lincoln
998,Other vehicle,13,Lincoln
999,Unknown vehicle,13,Lincoln
2,Cyclone,14,Mercury
3,Capri-domestic,14,Mercury
4,Cougar/XR7,14,Mercury
6,Marquis/Monterey,14,Mercury
8,Comet,14,Mercury
9,Bobcat,14,Mercury
10,Montego,14,Mercury
11,Monarch,14,Mercury
12,Zephyr,14,Mercury
13,Lynx/LN-7(82-83),14,Mercury
15,Topaz,14,Mercury
17,Sable,14,Mercury
20,Montego (2005+),14,Mercury
21,Milan,14,Mercury
31,Capri-foreign,14,Mercury
33,Pantera,14,Mercury
36,Tracer,14,Mercury
37,Mystique,14,Mercury
38,Cougar,14,Mercury
39,Marauder,14,Mercury
398,Other automobile,14,Mercury
399,Unknown automobile,14,Mercury
401,Mountaineer,14,Mercury
402,Mariner,14,Mercury
443,Villager,14,Mercury
444,Monterey,14,Mercury
498,Other light truck,14,Mercury
499,Unknownlight truck,14,Mercury
998,Other vehicle,14,Mercury
999,Unknown vehicle,14,Mercury
1,Special/Skylark,18,Buick
2,LeSabre/Centurion/Wildcat,18,Buick
3,"Electra, Electra 225, Park Avenue (91-on)",18,Buick
4,Roadmaster,18,Buick
5,Riviera,18,Buick
7,Century,18,Buick
8,Apollo/Skylark,18,Buick
10,Regal,18,Buick
12,Skyhawk,18,Buick
15,Skylark(76-85),18,Buick
18,Somerset/Skylark,18,Buick
20,Regal (FWD),18,Buick
21,Reatta,18,Buick
22,Lacrosse,18,Buick
23,Lucerne,18,Buick
24,Enclave,18,Buick
31,Opel Kadett,18,Buick
32,Opel Manta,18,Buick
33,Opel GT,18,Buick
34,Opel lsuzu,18,Buick
398,Other automobile,18,Buick
399,Unknown automobile,18,Buick
401,Rendezvous,18,Buick
402,Rainier,18,Buick
441,Terraza,18,Buick
499,UnknownLight Truck,18,Buick
998,Other vehicle,18,Buick
999,Unknown vehicle,18,Buick
3,Deville/Fleetwood (except Limousine),19,Cadillac
4,Limousine,19,Cadillac
5,Eldorado,19,Cadillac
6,Commercial Series,19,Cadillac
9,Allanté,19,Cadillac
14,Seville,19,Cadillac
16,Cimarron,19,Cadillac
17,Catera,19,Cadillac
18,CTS,19,Cadillac
19,XLR,19,Cadillac
20,SRX,19,Cadillac
21,STS,19,Cadillac
22,DTS,19,Cadillac
398,Other automobile,19,Cadillac
399,Unknown automobile,19,Cadillac
421,Escalade,19,Cadillac
431,Ecalade ESV,19,Cadillac
480,Escalade EXT (Data years 2005 and earlier),19,Cadillac
481,Escalade EXT (Data years 2006 and beyond),19,Cadillac
498,Other Light Truck,19,Cadillac
499,UnknownLigfht Truck,19,Cadillac
998,Other vehicle,19,Cadillac
999,Unknown vehicle,19,Cadillac
1,Chevelle/Malibu,20,Chevrolet
2,Impala/Caprice,20,Chevrolet
4,Corvette,20,Chevrolet
6,Corvair,20,Chevrolet
7,El Camino,20,Chevrolet
8,Nova(-79),20,Chevrolet
9,Camaro,20,Chevrolet
10,Monte Carlo (RWD),20,Chevrolet
11,Vega,20,Chevrolet
12,Monza,20,Chevrolet
13,Chevette,20,Chevrolet
15,Citation,20,Chevrolet
16,Cavalier,20,Chevrolet
17,Celebrity,20,Chevrolet
19,Beretta/Corsica,20,Chevrolet
20,Lumina,20,Chevrolet
22,Cobalt,20,Chevrolet
23,HHR,20,Chevrolet
31,Spectrum,20,Chevrolet
32,Nova/GEO Prizm,20,Chevrolet
33,Sprint/GEO Sprint,20,Chevrolet
34,GEO Metro,20,Chevrolet
35,GEO Storm,20,Chevrolet
36,Monte Carlo (FWD only),20,Chevrolet
37,Malibu,20,Chevrolet
38,SSR,20,Chevrolet
39,Aveo,20,Chevrolet
398,Other automobile,20,Chevrolet
399,Unknown automobile,20,Chevrolet
401,"S-10 Blazer, Blazer",20,Chevrolet
402,GEO Tracker,20,Chevrolet
403,Geo Tracker,20,Chevrolet
404,Equinox,20,Chevrolet
421,"Fullsize Blazer, Tahoe",20,Chevrolet
431,Suburban,20,Chevrolet
441,Astro Van,20,Chevrolet
442,Lumina APV,20,Chevrolet
443,Ventura,20,Chevrolet
444,Uplander,20,Chevrolet
461,G-seriesvan,20,Chevrolet
466,P-series van,20,Chevrolet
470,Van derivative,20,Chevrolet
471,S-10/T-10,20,Chevrolet
472,LUV,20,Chevrolet
473,Colorado,20,Chevrolet
481,"C, K, R, V-series pickup",20,Chevrolet
482,Avalanche,20,Chevrolet
498,Other light truck,20,Chevrolet
499,Unknownlight truck,20,Chevrolet
850,Truck based motorhome,20,Chevrolet
881,Medium/Heavy CBE,20,Chevrolet
882,Medium/Heavy COE low entry,20,Chevrolet
883,Medium/Heavy COE high entry,20,Chevrolet
884,Medium/Heavy,20,Chevrolet
890,Medium/Heavy COE,20,Chevrolet
898,Other medium/heavy truck,20,Chevrolet
899,Unknownmedium/heavy truck,20,Chevrolet
950,Bus based motorhome,20,Chevrolet
981,Bus,20,Chevrolet
988,Other bus,20,Chevrolet
989,Unknown bus,20,Chevrolet
998,Other vehicle,20,Chevrolet
999,Unknown vehicle,20,Chevrolet
1,Cutlass (RWD-only),21,Oldsmobile
2,Delta 88,21,Oldsmobile
3,Ninety-Eight,21,Oldsmobile
5,Toronado,21,Oldsmobile
6,Commercial Series,21,Oldsmobile
12,Starfire,21,Oldsmobile
15,Omega,21,Oldsmobile
16,Firenza,21,Oldsmobile
17,Ciera,21,Oldsmobile
18,Calais,21,Oldsmobile
20,Cutlass (FWD),21,Oldsmobile
21,Achieva,21,Oldsmobile
22,Aurora,21,Oldsmobile
23,Intrigue,21,Oldsmobile
24,Alero,21,Oldsmobile
398,Other automobile,21,Oldsmobile
399,Unknown automobile,21,Oldsmobile
401,Bravada,21,Oldsmobile
441,Silhouette,21,Oldsmobile
498,Other light truck,21,Oldsmobile
499,Unknownlight truck,21,Oldsmobile
998,Other vehicle,21,Oldsmobile
999,Unknown vehicle,21,Oldsmobile
1,LemansTempest (-79),22,Pontiac
2,Bonneville/Catalina/Parisienne,22,Pontiac
5,Fiero,22,Pontiac
8,Ventura,22,Pontiac
9,Firebird/Trans AM,22,Pontiac
10,Grand Prix (RWD),22,Pontiac
11,Astre,22,Pontiac
12,Sunbird (thru 80),22,Pontiac
13,T-1000/1000,22,Pontiac
15,Phoenix,22,Pontiac
16,J2000/2000/SunbirdSunfire,22,Pontiac
17,6000,22,Pontiac
18,Grand AM,22,Pontiac
19,G5,22,Pontiac
20,Grand Prix (FWD),22,Pontiac
22,G6,22,Pontiac
23,Solstice,22,Pontiac
31,Lemans (88-on),22,Pontiac
398,Other automobile,22,Pontiac
399,Unknown automobile,22,Pontiac
401,Aztek,22,Pontiac
402,Vibe,22,Pontiac
403,Torrent,22,Pontiac
441,Trans Sport,22,Pontiac
498,Other light truck,22,Pontiac
499,Unknownlighttruck,22,Pontiac
998,Other vehicle,22,Pontiac
999,Unknown vehicle,22,Pontiac
7,Caballero/Sprint,23,GMC
8,Arcadia,23,GMC
398,Other automobile,23,GMC
399,Unknown automobile,23,GMC
401,Jimmy/Typhoon,23,GMC
421,Fullsize Jimmy Yukon,23,GMC
431,Suburban,23,GMC
441,Safari (minivan),23,GMC
461,G-series van,23,GMC
466,P-series van,23,GMC
470,Van derivative,23,GMC
471,S15fTl5/Sonoma,23,GMC
472,Canyon,23,GMC
481,"C, K, R, V-series pickup",23,GMC
498,Other light truck,23,GMC
499,Unknown Light Truck,23,GMC
850,Truck Based Motorhome,23,GMC
881,"Medium/Heavy	CBE",23,GMC
882,Medium/Heavy COE low entry,23,GMC
883,Medium/Heavy COE high entry,23,GMC
884,Medium/Heavy,23,GMC
890,Medium/Heavy COE,23,GMC
898,Other medium/heavy truck,23,GMC
899,Unknown medium/heavy truck,23,GMC
950,Bus based motorhome,23,GMC
981,Bus,23,GMC
988,Other Bus,23,GMC
989,Unknown Bus,23,GMC
998,Other Vehicle,23,GMC
999,Unknown Vehicle,23,GMC
1,SL,24,Saturn
2,SC,24,Saturn
3,SW,24,Saturn
4,EV1,24,Saturn
5,LS,24,Saturn
6,LW,24,Saturn
7,Ion,24,Saturn
8,Sky,24,Saturn
9,Aura,24,Saturn
398,Other Automobile,24,Saturn
399,Unknown Automobile,24,Saturn
401,Vue,24,Saturn
441,Relay,24,Saturn
498,Other light truck,24,Saturn
499,Unknownlighttruck,24,Saturn
998,Other vehicle,24,Saturn
999,Unknown vehicle,24,Saturn
441,LLV,25,Grumman
442,Step-in van,25,Grumman
498,Other light truck,25,Grumman
499,Unknownlighttruck,25,Grumman
850,Truck based motorhome,25,Grumman
881,Medium/Heavy CBE,25,Grumman
882,Medium/Heavy COE low entry,25,Grumman
883,Medium/Heavy COE high entry,25,Grumman
884,Medium/Heavy Unknown engine location,25,Grumman
890,"Medium/Heavy COE entry position
 unknown",25,Grumman
898,Other medium/heavy truck,25,Grumman
899,Unknownmedium/heavy truck,25,Grumman
983,"Bus-flat front, rear engine",25,Grumman
988,Other bus,25,Grumman
989,Unknown bus,25,Grumman
998,Other vehicle,25,Grumman
999,Unknown vehicle,25,Grumman
1,Studebaker/Avanti,29,OtherDomestic
2,Checker,29,OtherDomestic
398,Other make,29,OtherDomestic
399,Unknownmake,29,OtherDomestic
498,Other Light Truck,29,OtherDomestic
988,Other Bus,29,OtherDomestic
31,Karmann Ghia,30,Volkswagen
32,Beetle 1300/1500,30,Volkswagen
33,Super Beetle,30,Volkswagen
34,411/412,30,Volkswagen
35,Squareback/Fastback,30,Volkswagen
36,Rabbit,30,Volkswagen
37,Dasher,30,Volkswagen
38,Scirocco,30,Volkswagen
40,Jetta,30,Volkswagen
41,Quantum,30,Volkswagen
42,Golf,30,Volkswagen
43,Rabbit pickup,30,Volkswagen
44,Fox,30,Volkswagen
45,Corrado,30,Volkswagen
46,Passat,30,Volkswagen
47,Jetta III,30,Volkswagen
48,Golf III,30,Volkswagen
49,New Beetle,30,Volkswagen
50,Phaeton,30,Volkswagen
51,EOS,30,Volkswagen
398,Other automobile,30,Volkswagen
399,Unknown automobile,30,Volkswagen
401,The Thing (181),30,Volkswagen
421,Touareg,30,Volkswagen
441,Vanagon/Camper,30,Volkswagen
442,Eurovan,30,Volkswagen
498,Other light truck,30,Volkswagen
499,Unknownlighttruck,30,Volkswagen
998,Other Vehicle,30,Volkswagen
999,Unknown vehicle,30,Volkswagen
31,Spider,31,Alfa Romeo
32,Sports Sedan,31,Alfa Romeo
33,Sprint Veloce,31,Alfa Romeo
34,GTV-6,31,Alfa Romeo
35,164,31,Alfa Romeo
398,Other automobile,31,Alfa Romeo
399,Unknown automobile,31,Alfa Romeo
998,Other vehicle,31,Alfa Romeo
999,Unknown vehicle,31,Alfa Romeo
31,Super 90,32,Audi
32,100/A6,32,Audi
33,Fox,32,Audi
34,4000,32,Audi
35,5000,32,Audi
36,80/90,32,Audi
37,200,32,Audi
38,V-8Quattro,32,Audi
39,CoupeQuattro,32,Audi
40,S4/S6,32,Audi
41,Cabriolet,32,Audi
42,A4,32,Audi
43,A3,32,Audi
44,A8,32,Audi
45,TT,32,Audi
46,S8,32,Audi
47,Allroad,32,Audi
49,A5,32,Audi
398,Other automobile,32,Audi
399,Unknown automobile,32,Audi
401,Q7,32,Audi
998,Other vehicle,32,Audi
999,Unknown vehicle,32,Audi
31,Marina,33,Austin/Austin Healey
32,America,33,Austin/Austin Healey
33,Healey Sprite,33,Austin/Austin Healey
34,Healy 3000,33,Austin/Austin Healey
35,Mini,33,Austin/Austin Healey
398,Other Automobile,33,Austin/Austin Healey
399,Unknown Automobile,33,Austin/Austin Healey
998,Other Vehicle,33,Austin/Austin Healey
999,Unknown Vehicle,33,Austin/Austin Healey
31,"1600, 2000",34,BMW
32,Coupe,34,BMW
33,Bavaria Sedan,34,BMW
34,3-series,34,BMW
35,5-series,34,BMW
36,6-series,34,BMW
37,7-series,34,BMW
38,8-series,34,BMW
39,Z3,34,BMW
40,Z8,34,BMW
41,V5,34,BMW
42,Z4,34,BMW
398,Other Automobile,34,BMW
399,Unknown Automobile,34,BMW
401,X5,34,BMW
402,X3,34,BMW
499,Unknown Light Truck,34,BMW
701,0-50cc,34,BMW
702,51-124cc,34,BMW
703,125-349cc,34,BMW
704,350-449cc,34,BMW
705,450-749cc,34,BMW
706,750cc-over,34,BMW
709,Unknown cc,34,BMW
799,Unknown motored cycle,34,BMW
998,Other Vehicle,34,BMW
999,Unknown Vehicle,34,BMW
31,F10,35,Nissan/Datsun
32,200/240 SX,35,Nissan/Datsun
33,1200/210/B210,35,Nissan/Datsun
34,"Z-car, ZX",35,Nissan/Datsun
35,310,35,Nissan/Datsun
36,510,35,Nissan/Datsun
